Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
TBvLx5egJmCVFL3w7AfJKjUflTk= 5 0 BrkNfFRE4oJAr/NUdXG9U9lymmswMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= RrZyYW9VvkadwBF7f0GzGFizHbkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 12 5 2 7F9vDFDORG8MmIwyCKYq5U+3w2M=
UDtjeXjoZ/jmRxBqjn6Pkvb1C6o= 5 0 PNX/8sHb2wdTedFfD0kScgNfQK4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= Ry3Xl7lIb5X7S4PfECZd5/B/gl4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
VA+ztAFLtY0+L0DHvLqet5QSGZs= 5 0 RrZyYW9VvkadwBF7f0GzGFizHbkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= QQur6pIdNsuy4IfjT53reWOto3EwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
V+i3Oy3r2ZVsD99NALLBqAk+PqU= 5 0 HPcqkQoddLcEkV8/O5mP9g4MwPowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 10 0 1 xj51wQtiEddMNdNtYPSo0Vqdhuk= lX9+BYe2lIX9lzBHjA6FmyajBoAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
YmGjkO3zstaMaC9PXjEdyO1ZBKI= 8 0 YOW16BqrwqNaE2fH0AIvI0BYG5MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 29 1 3 EfnHL3sANYfnWVK/oXwiun8wKww= QQur6pIdNsuy4IfjT53reWOto3EwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 13 1 VA+ztAFLtY0+L0DHvLqet5QSGZs=
Z2X5XdW9mzWoTWt3fpJTzi8FyiE= 7 0 8FTDlnQkqJiv7BFpZPR+eoCqpP0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 12 5 2 FQbdwLyjfyZAtAjGaWfIwt5Vb1g= wGPrWSPq3EYuObrnLL7V+azcI/QwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 7 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
bedPHLR949wa0DiTsV96cIWLBUo= 5 0 PoKfkNbfsZHCY5vQl2NxrUyerhUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 5 1 ILTp9HpZ0gWH2PYM19ymIgx/r9M= NKL4BTGPg5OLc9ujZK1hVUD9QFMwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
bjxeExuEuIcOmd5N6NJfPTiHyyQ= 14 1 lHFwqpENqUmcmTKBTVKtKr8oFhQwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 14 6 1 Q+4gVDwTaL4lMUiK/UCsrAwNbBU= NKL4BTGPg5OLc9ujZK1hVUD9QFMwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 29 3 wNSVPOpQ7VP4L9ZPkifk3IaE29c=
cPw2M+sPA0JjpSb9G6wNyjg+qDc= 6 0 PwWhbgU58miPBTC7ecPne7s5LzQwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 6 5 1 yyZ/FI7clAz4As2c1u4t7bD8Zz4= EovWmSK4/NQA7M5dkl6Y06AZfoIwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 7 1 6rGonN9UdkbsTmqY8fcvLDtyX0w=
cavi837IUvX3PDvqOiFOvr2sf6A= 8 0 DgRsKuJHux5vTuwRNSw6OyedTvEwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 20 0 2 ODx/2i1lAwUW7RZLrB3RJBOOOvQ= wIVZJ/tGkrjTuTdk6cVcPjtKPxAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 8 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
