Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
CpzhvSVUnlSLLNSS9mvSdnCYb1c= 1 0 HB5xvt4lWNqiQI5ZzZ5xCyWdMHkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 16 19 21 1EGXa3r51srwTxbVIWowiyA0mdo= 0GqNStWnpcmBfZ9gjiVyWF1db+4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 28 21 g/5waIW518/f7RtzSm5nirbX3XY=
CreiMIGRDS63SCOMbq1GVsv2k7w= 4 0 oxEzCJ6qDIe5PcKstcjupq1zKUQwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 10 20 10 jnWflp/+Vx5VbEmvFBWIrNnT6Lg= qS6E9rQ7eWr/ZvutAXB22isjgoYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 7 7 10 12P+Hjcd81eVI+03LU8yc/ksI8A=
C31aLFHVau9UMSO5Bb5ZQxQvmIs= 1 0 zpd+S+dpjSKEsg3uWIDXRa0auJwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 0 9 SweOCCU3fnUsaurzEaIOgYmDr1Q= eiGGlUQ83QS2a7umyiroC8zyVjowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 4 10 7 SweOCCU3fnUsaurzEaIOgYmDr1Q=
C4uo4wv0S7Ur5XQBBuvThHQV/iE= 1 0 NZqM/l2d2er3XOVImTDIV7zDZgswMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 18 2 14 DGqgSp3VzWV3FFv7AOL514NZtV8= eiGGlUQ83QS2a7umyiroC8zyVjowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 4 12 9 cKXg6632MpTQyau3VsUWA0FOP0Y=
C5IOmIH6gSlASDTF/0auJs/DqGU= 1 0 bJGILUORqSJyVlrt45ijukaZ2U0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 6 37 37 hJPSQL5HMHgVA4G/4xRI4VLprWo= ILJmkZasgDoErw242DjsnmkcEo0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 19 10 28 dGV79EXyZNRf8zK2bzLa4c8GRPI=
DFlF1eYsoIrAVuoGuFxn9zLFCWE= 1 0 lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 25 39 36 WnnL/bXLRA/LQcXRzsa3Il3CAuU= dgQYj0H0kppfjmUrgoKxWeh3Od8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 4 25 25 /UqK5Cn+1NblELj/8sjUFvHu/2M=
DGqgSp3VzWV3FFv7AOL514NZtV8= 1 0 NZqM/l2d2er3XOVImTDIV7zDZgswMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 17 2 13 88SWDc5QKfpVjevRRcEAqa/aIP0= O96OrjxK3M9XoR0+x7esDh8xfoEwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 2 19 17 88SWDc5QKfpVjevRRcEAqa/aIP0=
DMF1zG9x+hWW+jlXSU/lbdpgEYA= 1 0 uWepyoLh/yrMvHgAPrWAp5dnvsEwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 3 2 2 X/LUcsB5R1JEEKwo7B78mN1hxhk= CimhPg6hP3A/5uhofEQrr5GQN/MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 3 5 8bozBil4+C44d0Yza6fb8+euZfI=
DPnkeMQIeA96Qvs+tnGTS3kEk+E= 7 0 9nT0PL4tbQc83imK5AohSjfV+VowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 8 8 9 FqPANdOJZrcs6jK6hJGdAhsG08Y= 0GqNStWnpcmBfZ9gjiVyWF1db+4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 10 3 Qz5VmjcyqNN+okWYf9n13wcplfA=
Dkp1ibWnaCcALWgUrn71oRIBHyA= 1 0 OV16nemaTI+X4dLhtXExddWVQKUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 24 9 32 a+UCCnzpqtTYzsgDz5HnhKeTRzU= bJGILUORqSJyVlrt45ijukaZ2U0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 24 24 /pP4/+OaceJ9li16WT+yTCs+d14=
